CID;SMILES;SHBd;MLFER_S;nBase;maxsssN;MLFER_BH;minssNH;MDEN-23;MATS4e;ATSC1c;GATS4e;MATS1v;maxsCH3;MATS4m;MDEO-11;ETA_dEpsilon_D;MLFER_L;MATS1c;SdO;WTPT-3;AATSC4s;GATS1e;WTPT-4;WTPT-5;C1SP3;MATS4s;MDEN-22;AATS2i;MLFER_E;SpDiam_Dt;SHAvin;BCUTc-1h;SaaN;ETA_Beta_s;GATS6p;GATS6e;SpMin1_Bhp;MATS3s;AMR;GATS3c;JGI5;GATS1s;MATS2s;maxdO;ATSC3i;MATS1i;ATSC2s;AATSC1c;SpMin5_Bhi;SpMax1_Bhp;ATSC3s;SM1_Dzi;HBondDonorCount;SCH-6;GATS6i;XStericQuadrupole3D;AATS6i;WTPT-2;maxsssCH;SpMin6_Bhv;ndssC;GATS6s;AATSC4m;GATS2c;MATS3e;mindO;maxaaN;piPC9;AATS4i;nAtomLC;GATS7c;SpMax1_Bhv;SHBint2;SpMax3_Bhe;minHCsats;AATSC2s;maxHBint5;AATS5i;CrippenLogP;AATS0s;maxssCH2;SsssCH;MATS2i;minssCH2;SHssNH;BCUTp-1h;VC-5;GATS4c;fragC;piPC6;AATSC2i;SM1_DzZ;SssCH2;GATS4m;maxssNH;ATSC2e;piPC10;ATSC2i;Kier3;SpMin2_Bhe;minwHBa;pIC50 AVG
49803313;CCC1=C(N=C(C(=N1)C(=O)N)NC2=CC(=C(C=C2)N3CCC(CC3)N4CCN(CC4)C)OC)NC5CCOCC5;1.192993206;4.505;2;2.660638788;4.419;3.293016207;1.155778225;0.118891977;-0.513874292;0.682976601;-0.024622371;2.203760381;-0.011010972;0;0.04886;23.103;-0.393215798;12.3276703;33.55380539;0.102298626;0.933363627;8.264936248;25.28886914;9;0.133174909;2.182247272;161.2646032;3.653;657.5664072;0;0.225375063;9.39022259;27.75;1.079256345;0.961738145;2.036189176;0.064455655;102.3172;1.118304377;0.027777778;0.746703129;0.128965656;12.3276703;19.43409464;-0.318412747;16.14764031;-0.005839481;1.486093334;3.838268451;10.84307681;2.321399241;3;0.392325677;1.132359449;29.24;164.7068723;2.057269827;0.650660748;1.565523543;1;0.955013617;-0.383927504;1.421304908;-0.00180868;12.3276703;4.794022159;7.201846457;163.4516263;3;1.148190642;3.848267784;7.163069201;3.778644454;0.445779576;0.099065278;0.870598672;165.098238;3.67087;3.036044974;1.159304829;0.901029432;-0.043637631;0.632076739;0.611937011;10.46301126;0.155392926;0.742101285;376.11;6.226042476;-0.063541018;1.892857143;12.78406613;0.978988012;3.513804017;-0.722133204;7.572663723;-10.35718592;8.143270843;1.807393103;-0.616552875;9.462409073
49803040;CCC1=C(N=C(C(=N1)C(=O)N)NC2=CC(=C(C=C2)N3CCC(CC3)N4CCN(CC4)C)C)NC5CCOCC5;1.152190737;4.401;2;2.684076288;4.212;3.339127318;1.155778225;0.102747007;-0.469359249;0.696143411;-0.012950101;2.214177048;-0.029550068;0;0.0485;22.85;-0.412507169;12.29618882;30.70109257;0.093122522;0.935233169;5.439226774;25.26186579;10;0.127753452;2.182247272;160.5558817;3.639;644.1960057;0;0.225358771;9.416301656;26.75;1.020999728;0.842784477;2.038473862;0.056906664;100.5035;1.165329692;0.028601695;0.752976059;0.154500939;12.29618882;12.37482918;-0.287281957;18.24434283;-0.005394934;1.486971582;3.856804583;9.125735875;2.148265055;3;0.392325677;1.090212652;28.75;165.3975943;2.05784967;0.69168966;1.566950193;1;0.877716069;-1.010791391;1.383893732;-0.019106791;12.29618882;4.809009404;7.148468574;163.8727032;3;1.237225187;3.861287856;7.054452835;3.780105701;0.432112789;0.1126194;0.838989932;164.3993387;4.27209;2.925033467;1.201775695;0.962567985;-0.046263887;0.65120897;0.578480221;10.50464512;0.17744621;0.778485493;367.1;6.195170405;-0.067870335;1.642857143;13.19850746;1.00315628;3.527322535;-0.198496711;7.522788879;-10.99499431;7.891043102;1.809230177;-0.589000149;9.443697499
66642831;CCC1=C(N=C(C(=N1)C(=O)N)NC2=CC(=C(C=C2)N3CCN(CC3)C4CCN(CC4)C)C)NC5CCOCC5;1.154178696;4.401;2;2.685232304;4.212;3.337563532;1.192978172;0.102747007;-0.468899549;0.696143411;-0.012950101;2.222325196;-0.029550068;0;0.0485;22.85;-0.412059901;12.29564541;30.73405729;0.092226465;0.935233169;5.439226774;25.29483052;10;0.126524164;2.182247272;160.5558817;3.639;644.1960057;0;0.225358781;9.414736787;26.75;0.971032991;0.897261607;2.037961069;0.056906664;100.5035;1.164468463;0.028601695;0.752976059;0.154500939;12.29564541;12.37482918;-0.287281957;18.24434283;-0.00538965;1.465002727;3.854415426;9.125735875;2.148265055;3;0.392325677;1.06082428;29.55;166.5897886;2.05784967;0.72361849;1.566545712;1;0.876012347;-1.010791391;1.383540106;-0.019106791;12.29564541;4.808129392;7.148468574;163.8727032;3;1.31948045;3.859375425;7.059152281;3.787093449;0.378631628;0.1126194;0.836890328;164.1665457;4.27209;2.925033467;1.275415941;0.994058418;-0.046263887;0.650770572;0.58006062;10.49419211;0.17744621;0.785575849;367.1;6.195170405;-0.067870335;1.642857143;13.19675674;1.00315628;3.526779122;-0.198496711;7.522788879;-10.99499431;7.891043102;1.807303985;-0.589685005;9.431798276
49803312;CCC1=C(N=C(C(=N1)C(=O)N)NC2=CC=C(C=C2)N3CCC(CC3)N4CCN(CC4)C)NC5CCOCC5;1.184536416;4.425;2;2.677273567;4.216;3.298293985;1.155778225;0.112754713;-0.465315016;0.670931184;-0.013350688;2.211422227;-0.030759416;0;0.04996;22.374;-0.409693851;12.22925209;30.70954152;0.09431968;0.936495681;5.43930281;25.27023871;9;0.125771219;2.182247272;160.5678758;3.631;632.2595255;0;0.225352899;9.364206512;26.25;1.030514285;0.914893976;2.031758631;0.059945841;95.0014;1.161944035;0.028645833;0.741129029;0.14661614;12.22925209;17.49632455;-0.296224991;17.1525;-0.005539464;1.485562787;3.831959353;9.620416667;2.148265055;3;0.407617628;1.109089687;29.69;165.2756754;2.063438338;0.696035842;1.564034902;1;0.944752976;-1.056743376;1.384884307;-0.025840329;12.22925209;4.779341981;7.071201903;164.0626324;3;1.278756104;3.83872485;7.091539741;3.772381641;0.432112789;0.109951923;0.875975285;165.2669668;3.66227;2.975;1.202331251;0.969465608;-0.071559925;0.652093744;0.60465306;10.3942812;0.145171349;0.750216102;358.1;6.132041375;-0.105649098;1.642857143;13.20556783;0.998796695;3.515941362;-0.29836309;7.43207692;-16.48125929;7.853185596;1.807115361;-0.590594537;9.292429824
49803314;CC(C)C1=C(N=C(C(=N1)C(=O)N)NC2=CC=C(C=C2)N3CCC(CC3)N4CCN(CC4)C)NC5CCOCC5;1.144128253;4.386;2;2.678014307;4.234;3.313127696;1.155778225;0.117587365;-0.467068042;0.679832565;-0.012950101;2.211883907;0.004648483;0;0.0485;22.645;-0.410256996;12.33592254;30.72752348;0.097990291;0.935233169;5.440310652;25.28721283;10;0.133865727;2.182247272;160.3596157;3.616;645.9987883;0;0.225359321;9.495641698;26.75;1.065243196;0.874832764;2.034721786;0.056454815;100.4589;1.162778716;0.032956685;0.759287526;0.155233109;12.33592254;6.792228538;-0.287281957;18.40827164;-0.005368598;1.48746287;3.833912884;9.215512653;2.148265055;3;0.407617628;1.158659359;32.16;164.27264;2.057685077;0.69392322;1.629607268;1;0.875896579;0.159006271;1.385017759;-0.017824615;12.33592254;4.829758648;7.105401519;164.7053281;3;1.377201322;3.841536391;7.027519396;3.77340222;0.432112789;0.113631306;0.851254004;165.4543455;4.22327;2.934069612;1.200766423;1.045007288;-0.053409269;0.728630619;0.574448979;10.59356004;0.206477158;0.752933891;367.1;6.188264123;-0.078352797;1.642857143;12.52267977;0.967742768;3.546358029;-0.219659651;7.469119537;-12.69315312;8.094674556;1.818232079;-0.593187129;9.251811973
72195453;CC1=C(SC2=NC=NC(=C12)NC3=C(NN=C3)C(=O)NC4=CC=C(C=C4)CN5CCN(CC5)C)C;1.381109597;4.277;2;2.460551799;3.528;2.973297956;1.064269883;0.180639395;-0.36146788;0.760142676;0.005226292;2.199741578;0.0057857;0;0.04253;20.098;-0.417294074;13.00213558;30.87374695;0.157256157;0.855353552;2.57610066;25.23861279;7;0.193842995;4.000913746;159.2418092;3.89;628.5525016;0;0.226801819;13.05211276;23.25;1.0140323;0.976697481;1.986451739;0.041372512;68.1233;1.086085689;0.018870773;0.616517791;0.0705397;13.00213558;-15.01805365;-0.177132618;6.580956069;-0.005476786;1.495933118;4.058802605;4.732477368;1.888230374;3;0.64413408;1.160483899;28.8;158.2047255;2.065882547;0;1.491689552;1;1.103502887;0.250133771;1.349170892;0.038568732;13.00213558;4.504584471;7.449875152;162.0244851;3;1.070482744;3.994712271;5.646766862;3.845412138;0.465305609;0.057225705;0;167.5787333;3.53311;3.325772158;1.102128784;0;0.131205095;0.928229657;0.828918695;11.53252541;0.263351149;0.819458869;322.1;6.448914117;0.222916156;2.017857143;5.295916736;0.999539974;3.313496208;0.006681155;7.739107484;25.63535793;6.12345679;1.817642831;-0.249686274;9.239577517
49803311;CC1=C(C=CC(=C1)NC2=C(N=C(C(=N2)NC3CCC(CC3)O)Cl)C(=O)N)N4CCC(CC4)N5CCN(CC5)C;1.555657548;4.613;2;2.680369069;4.223;3.324958902;1.155778225;0.07496594;-0.574378149;0.719759283;0.008375928;2.211519677;0.027953227;0.090909091;0.06124;23.38;-0.463526831;12.22328548;32.69828753;0.076095334;0.911658471;4.952414593;25.17067035;7;0.080317916;2.182247272;159.5234828;3.903;654.9756298;0;0.247327653;9.334753311;26.75;1.016937472;0.922744581;2.032402921;0.022293623;98.5376;1.045497104;0.027534113;0.818552888;0.129535443;12.22328548;10.06601461;-0.250632793;19.14515165;-0.006837835;1.485876106;3.856006639;4.646745923;2.279925968;4;0.373596937;1.028125532;27.94;166.3956422;2.053357897;0.688533799;1.452360066;1;0.551744211;1.236650288;1.192413726;0.033581229;12.22328548;4.775997153;7.130248619;164.1950631;3;1.211100764;3.859687712;7.070394302;3.78214421;0.431520644;0.122725331;2.322084291;165.3785211;4.0824;3.260830094;1.198132465;0.720139669;-0.054410625;0.784952931;0.572998432;10.50552496;0.188115876;0.817391411;367.11;6.147933965;-0.079976106;2.289915966;12.57414481;0.86591566;3.506412041;0.293418359;7.50054676;-12.47627261;7.891043102;1.801836554;-0.587714056;9.142667504
72194525;CN1CCN(CC1)CC2=CC=C(C=C2)NC(=O)C3=C(C=NN3)NC4=C5C=CSC5=NC=N4;1.440156665;4.325;2;2.457369637;3.536;2.952801557;1.064269883;0.174020286;-0.351812806;0.800407851;0.006057495;2.161686963;0.119366671;0;0.04563;19.146;-0.40678644;12.88108362;30.8813013;0.154608673;0.864956094;2.57605638;25.22762904;5;0.177319874;4.000913746;159.1046079;3.874;570.2458192;0;0.226836039;12.78851991;22.25;0.998627837;0.865290227;1.985970672;0.050504323;56.8887;1.038142446;0.015745257;0.598703846;0.047802476;12.88108362;-19.13920916;-0.187393032;4.293031301;-0.005863547;1.329426676;4.015471744;5.680606405;1.888230374;3;0.537457479;1.169076634;28.98;157.3340253;2.07823373;0;1.434542176;1;1.049196992;5.241021362;1.370037684;0.045579639;12.88108362;4.382917804;7.256487434;164.5973366;3;1.067970068;3.951328086;5.738112842;3.84173167;0.465305609;0.041679916;0;165.3958801;3.91006;3.511469969;1.102946612;0;0.070083812;0.929329833;0.873980424;10.78038773;0.086465856;0.83163463;304.1;6.311763166;0.122680044;2.017857143;5.300451895;0.800082178;3.245440652;-0.288808431;7.603405184;12.63604452;5.991735537;1.797396191;-0.252373769;9.01073213
124086185;CCC1=NC(=C(C=C1NC2CCOCC2)NC3=CC(=C(C=C3)N4CCC(CC4)N5CCN(CC5)C)OC)C(=O)N;1.061882095;4.2;2;2.667583232;4.336;3.404127318;0.863225972;0.08820399;-0.436277766;0.67247682;-0.014339453;2.207666631;-0.026723372;0;0.04795;22.79;-0.351104296;12.3676703;30.36630749;0.065827266;0.933430584;8.264936248;22.10137124;9;0.089145659;0.908560296;160.1423273;3.305;657.5664072;0;0.223806132;4.658700431;27.25;1.080093648;0.933614664;2.039365736;0.056350985;102.3172;1.109158487;0.027777778;0.750603029;0.115022581;12.3676703;29.05043672;-0.268338958;14.01434064;-0.004901997;1.486196481;3.858750861;9.279231065;2.096149656;3;0.392325677;1.134353372;28.3;164.045412;2.057269827;0.658925211;1.567557614;1;0.909009736;-0.922301521;1.465425876;-0.013575704;12.3676703;4.658700431;7.201846457;161.9724371;3;1.216096577;3.868573894;6.938958043;3.77904532;0.43465077;0.084935398;0.741342408;162.9236969;4.27587;2.953267974;1.165221989;0.971793894;-0.062758359;0.694576739;0.5008259;10.79647788;0.16417446;0.743654743;376.1;6.226042476;-0.090552831;1.75;13.04885144;0.990429796;3.624915128;-1.039677965;7.572663723;-14.94121716;8.143270843;1.838026657;-0.554052875;8.974481653
137649953;CCC1=CC2=C(N=CN=C2S1)NC3=C(NN=C3)C(=O)NC4=CC=C(C=C4)CN5CCOCC5;1.415173698;4.238;1;2.367054244;3.203;2.951916783;0.609818708;0.120434749;-0.390397175;0.756412745;0.015404917;2.184121953;-0.004382268;0;0.04495;19.759;-0.418578176;12.9415187;30.73169879;0.141565084;0.851241369;5.578128964;22.0392174;6;0.156493687;4.000913746;157.0450801;3.779;604.7981153;0;0.226847807;12.97744924;22.5;0.977251923;0.958488801;1.980783414;0.042519772;58.7234;1.058701593;0.015432099;0.616619223;0.008827678;12.9415187;-11.93579511;-0.120804506;0.854455776;-0.006296729;1.486483488;4.042175557;5.077199028;1.836114975;3;0.596449822;1.169947446;26.65;158.8694415;2.077209527;0;1.489669812;1;1.07547213;-0.192794462;1.297532919;0.029042268;12.9415187;4.484129203;7.418792599;161.8036851;3;1.179431486;3.975270273;5.765034745;3.841675159;0.364662367;0.007985568;0;162.1317911;4.55726;3.567587862;1.067272166;0;0.029302912;0.783270528;0.854660696;11.25714336;0.086465856;0.865991565;313.1;6.429038803;0.049770869;2.125;5.410692752;1.030614793;3.286880562;-0.359729111;7.726117876;5.325482956;6.228373702;1.799155058;-0.258523035;8.806875402
